time,size,
0,122615,I
0.067,4862,P
0.133,748,P
0.2,665,P
0.267,744,P
0.333,1254,P
0.4,2569,P
0.467,2195,P
0.533,2302,P
0.6,2780,P
0.667,3973,P
0.733,2320,P
0.8,3174,P
0.867,2424,P
0.933,2661,P
1,296,P
1.067,282,P
1.133,434,P
1.2,411,P
1.267,502,P
1.333,548,P
1.4,648,P
1.467,567,P
1.533,901,P
1.6,769,P
1.667,675,P
1.733,595,P
1.8,477,P
1.867,485,P
1.933,514,P
2,100980,I
2.067,1433,P
2.133,1070,P
2.2,841,P
2.267,1157,P
2.333,1869,P
2.4,1503,P
2.467,1389,P
2.533,1515,P
2.6,1830,P
2.667,1935,P
2.733,2756,P
2.8,2692,P
2.867,2557,P
2.933,2501,P
3,2547,P
3.067,2642,P
3.133,2690,P
3.2,1503,P
3.267,1684,P
3.333,2509,P
3.4,1459,P
3.467,1783,P
3.533,2133,P
3.6,1525,P
3.667,1696,P
3.733,1812,P
3.8,1992,P
3.867,1912,P
3.933,2387,P
4,74723,I
4.067,2912,P
4.133,2691,P
4.2,2702,P
4.267,3319,P
4.333,3311,P
4.4,3242,P
4.467,3841,P
4.533,5593,P
4.6,3047,P
4.667,3005,P
4.733,3349,P
4.8,3772,P
4.867,2922,P
4.933,3965,P
5,3287,P
5.067,3012,P
5.133,4025,P
5.2,2137,P
5.267,2112,P
5.333,2371,P
5.4,2637,P
5.467,2852,P
5.533,2717,P
5.6,2979,P
5.667,3463,P
5.733,4975,P
5.8,4290,P
5.867,4344,P
5.933,4321,P
6,51151,I
6.067,3671,P
6.133,4513,P
6.2,5825,P
6.267,6067,P
6.333,7869,P
6.4,4780,P
6.467,4967,P
6.533,4587,P
6.6,3877,P
6.667,4020,P
6.733,3746,P
6.8,3881,P
6.867,3900,P
6.933,6412,P
7,3895,P
7.067,3732,P
7.133,4401,P
7.2,5263,P
7.267,5960,P
7.333,4480,P
7.4,4015,P
7.467,4326,P
7.533,7904,P
7.6,3976,P
7.667,3606,P
7.733,3690,P
7.8,4610,P
7.867,5629,P
7.933,4697,P
8,53462,I
8.067,2650,P
8.133,4562,P
8.2,3170,P
8.267,2586,P
8.333,2877,P
8.4,2952,P
8.467,3125,P
8.533,2856,P
8.6,2499,P
